country;Code_postal;Nom_de_la_commune;country
FR;2200;BILLY SUR AISNE;FR
FR;2210;BILLY SUR OURCQ;FR
FR;2160;BLANZY LES FISMES;FR
FR;2300;BLERANCOURT;FR
FR;2400;BLESMES;FR
FR;2110;BOHAIN EN VERMANDOIS;FR
FR;2270;BOIS LES PARGNY;FR
FR;2350;BONCOURT;FR
FR;2400;BONNEIL;FR
FR;2400;BONNESVALYN;FR
FR;2420;BONY;FR
FR;2250;BOSMONT SUR SERRE;FR
FR;2860;BOUCONVILLE VAUCLAIR;FR
FR;2450;BOUE;FR
FR;2160;BOUFFIGNEREUX;FR
FR;2400;BOURESCHES;FR
FR;2160;BOURG ET COMIN;FR
FR;2300;BOURGUIGNON SOUS COUCY;FR
FR;2000;BOURGUIGNON SOUS MONTBAVIN;FR
FR;2140;LA BOUTEILLE;FR
FR;2220;BRAINE;FR
FR;2320;BRANCOURT EN LAONNOIS;FR
FR;2110;BRANCOURT LE GRAND;FR
FR;2400;BRASLES;FR
FR;2000;BRAYE EN LAONNOIS;FR
FR;2140;BRAYE EN THIERACHE;FR
FR;2480;BRAY ST CHRISTOPHE;FR
FR;2880;BRAYE;FR
FR;2210;BRECY;FR
FR;2220;BRENELLE;FR
FR;2210;BRENY;FR
FR;2870;BRIE;FR
FR;2240;BRISSAY CHOIGNY;FR
FR;2240;BRISSY HAMEGICOURT;FR
FR;2810;BRUMETZ;FR
FR;2360;BRUNEHAMEL;FR
FR;2130;BRUYERES SUR FERE;FR
FR;2860;BRUYERES ET MONTBERAULT;FR
FR;2220;BRUYS;FR
FR;2500;BUCILLY;FR
FR;2880;BUCY LE LONG;FR
FR;2870;BUCY LES CERNY;FR
FR;2350;BUCY LES PIERREPONT;FR
FR;2500;BUIRE;FR
FR;2620;BUIRONFOSSE;FR
FR;2140;BURELLES;FR
FR;2810;BUSSIARES;FR
FR;2200;BUZANCY;FR
FR;2300;CAILLOUEL CREPIGNY;FR
FR;2300;CAMELIN;FR
FR;2260;LA CAPELLE;FR
FR;2680;CASTRES;FR
FR;2420;LE CATELET;FR
FR;2490;CAULAINCOURT;FR
FR;2300;CAUMONT;FR
FR;2330;CELLES LES CONDE;FR
FR;2540;LA CELLE SOUS MONTMIRAIL;FR
FR;2370;CELLES SUR AISNE;FR
FR;2240;CERIZY;FR
FR;2860;CERNY EN LAONNOIS;FR
FR;2870;CERNY LES BUCY;FR
FR;2220;CERSEUIL;FR
FR;2320;CESSIERES;FR
FR;2200;CHACRISE;FR
FR;2000;CHAILLEVOIS;FR
FR;2270;CHALANDRY;FR
FR;2000;CHAMBRY;FR
FR;2860;CHAMOUILLE;FR
FR;2670;CHAMPS;FR
FR;2340;CHAOURSE;FR
FR;2330;LA CHAPELLE MONTHODON;FR
FR;2570;LA CHAPELLE SUR CHEZY;FR
FR;2310;CHARLY SUR MARNE;FR
FR;2850;LE CHARMEL;FR
FR;2800;CHARMES;FR
FR;2400;CHARTEVES;FR
FR;2370;CHASSEMY;FR
FR;2400;CHATEAU THIERRY;FR
FR;2270;CHATILLON LES SONS;FR
FR;2240;CHATILLON SUR OISE;FR
FR;2160;CHAUDARDES;FR
FR;2200;CHAUDUN;FR
FR;2300;CHAUNY;FR
FR;2000;CHAVIGNON;FR
FR;2880;CHAVIGNY;FR
FR;2370;CHAVONNE;FR
FR;2860;CHERET;FR
FR;2860;CHERMIZY AILLES;FR
FR;2220;CHERY CHARTREUVE;FR
FR;2000;CHERY LES POUILLY;FR
FR;2360;CHERY LES ROZOY;FR
FR;2250;CHEVENNES;FR
FR;2000;CHEVREGNY;FR
FR;2270;CHEVRESIS MONCEAU;FR
FR;2810;CHEZY EN ORXOIS;FR
FR;2570;CHEZY SUR MARNE;FR
FR;2400;CHIERRY;FR
FR;2120;CHIGNY;FR
FR;2350;CHIVRES EN LAONNOIS;FR
FR;2880;CHIVRES VAL;FR
FR;2000;CHIVY LES ETOUVELLES;FR
FR;2210;CHOUY;FR
FR;2130;CIERGES;FR
FR;2250;CILLY;FR
FR;2220;CIRY SALSOGNE;FR
FR;2000;CLACY ET THIERRET;FR
FR;2260;CLAIRFONTAINE;FR
FR;2880;CLAMECY;FR
FR;2440;CLASTRES;FR
FR;2340;CLERMONT LES FERMES;FR
FR;2600;COEUVRES ET VALSERY;FR
FR;2210;COINCY;FR
FR;2360;COINGT;FR
FR;2860;COLLIGIS CRANDELAIN;FR
FR;2120;COLONFAY;FR
FR;2300;COMMENCHON;FR
FR;2160;CONCEVREUX;FR
FR;2330;CONDE EN BRIE;FR
FR;2370;CONDE SUR AISNE;FR
FR;2190;CONDE SUR SUIPPE;FR
FR;2700;CONDREN;FR
FR;2330;CONNIGIS;FR
